,GP_name,quali_pos,constructor,driver,position,driver_confidence,constructor_relaiblity,active_driver,active_constructor,dob,istest
90,Albert Park Grand Prix Circuit,16,Williams,Valtteri Bottas,16.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
91,Albert Park Grand Prix Circuit,15,Williams,Valtteri Bottas,10.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
92,Albert Park Grand Prix Circuit,0,Williams,Valtteri Bottas,6.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
93,Albert Park Grand Prix Circuit,16,Williams,Valtteri Bottas,11.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
94,Albert Park Grand Prix Circuit,20,Williams,Lance Stroll,19.0,0.9230769230769231,0.5699614890885751,1,1,1998-10-29 00:00:00,0
95,Albert Park Grand Prix Circuit,13,Williams,Lance Stroll,14.0,0.9230769230769231,0.5699614890885751,1,1,1998-10-29 00:00:00,0
97,Albert Park Grand Prix Circuit,19,Williams,George Russell,19.0,0.9583333333333334,0.5699614890885751,1,1,1998-02-15 00:00:00,0
105,Albert Park Grand Prix Circuit,2,McLaren,Fernando Alonso,2.0,0.9326599326599326,0.6344916344916345,1,1,1981-07-29 00:00:00,0
106,Albert Park Grand Prix Circuit,11,McLaren,Fernando Alonso,12.0,0.9326599326599326,0.6344916344916345,1,1,1981-07-29 00:00:00,0
107,Albert Park Grand Prix Circuit,12,McLaren,Fernando Alonso,13.0,0.9326599326599326,0.6344916344916345,1,1,1981-07-29 00:00:00,0
108,Albert Park Grand Prix Circuit,10,McLaren,Fernando Alonso,11.0,0.9326599326599326,0.6344916344916345,1,1,1981-07-29 00:00:00,0
115,Albert Park Grand Prix Circuit,18,McLaren,Lewis Hamilton,15.0,0.9407114624505929,0.6344916344916345,1,1,1985-01-07 00:00:00,0
116,Albert Park Grand Prix Circuit,1,McLaren,Lewis Hamilton,1.0,0.9407114624505929,0.6344916344916345,1,1,1985-01-07 00:00:00,0
117,Albert Park Grand Prix Circuit,4,McLaren,Lewis Hamilton,4.0,0.9407114624505929,0.6344916344916345,1,1,1985-01-07 00:00:00,0
118,Albert Park Grand Prix Circuit,11,McLaren,Lewis Hamilton,11.0,0.9407114624505929,0.6344916344916345,1,1,1985-01-07 00:00:00,0
119,Albert Park Grand Prix Circuit,2,McLaren,Lewis Hamilton,2.0,0.9407114624505929,0.6344916344916345,1,1,1985-01-07 00:00:00,0
120,Albert Park Grand Prix Circuit,1,McLaren,Lewis Hamilton,1.0,0.9407114624505929,0.6344916344916345,1,1,1985-01-07 00:00:00,0
135,Albert Park Grand Prix Circuit,15,McLaren,Sergio Pérez,15.0,0.9333333333333333,0.6344916344916345,1,1,1990-01-26 00:00:00,0
136,Albert Park Grand Prix Circuit,4,McLaren,Kevin Magnussen,4.0,0.9523809523809523,0.6344916344916345,1,1,1992-10-05 00:00:00,0
137,Albert Park Grand Prix Circuit,17,McLaren,Kevin Magnussen,18.0,0.9523809523809523,0.6344916344916345,1,1,1992-10-05 00:00:00,0
138,Albert Park Grand Prix Circuit,18,McLaren,Carlos Sainz,18.0,0.9038461538461539,0.6344916344916345,1,1,1994-09-01 00:00:00,0
141,Albert Park Grand Prix Circuit,8,McLaren,Lando Norris,8.0,0.9166666666666666,0.6344916344916345,1,1,1999-11-13 00:00:00,0
146,Albert Park Grand Prix Circuit,3,Ferrari,Fernando Alonso,3.0,0.9326599326599326,0.8243589743589743,1,1,1981-07-29 00:00:00,0
147,Albert Park Grand Prix Circuit,5,Ferrari,Fernando Alonso,5.0,0.9326599326599326,0.8243589743589743,1,1,1981-07-29 00:00:00,0
148,Albert Park Grand Prix Circuit,12,Ferrari,Fernando Alonso,12.0,0.9326599326599326,0.8243589743589743,1,1,1981-07-29 00:00:00,0
149,Albert Park Grand Prix Circuit,5,Ferrari,Fernando Alonso,5.0,0.9326599326599326,0.8243589743589743,1,1,1981-07-29 00:00:00,0
150,Albert Park Grand Prix Circuit,5,Ferrari,Fernando Alonso,5.0,0.9326599326599326,0.8243589743589743,1,1,1981-07-29 00:00:00,0
185,Albert Park Grand Prix Circuit,5,Ferrari,Charles Leclerc,5.0,0.8444444444444444,0.8243589743589743,1,1,1997-10-16 00:00:00,0
267,Albert Park Grand Prix Circuit,3,Mercedes,Lewis Hamilton,3.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
268,Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
269,Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
270,Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
271,Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
272,Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
273,Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1.0,0.9407114624505929,0.8778054862842892,1,1,1985-01-07 00:00:00,0
277,Albert Park Grand Prix Circuit,3,Mercedes,Valtteri Bottas,3.0,0.965034965034965,0.8778054862842892,1,1,1989-08-28 00:00:00,0
278,Albert Park Grand Prix Circuit,15,Mercedes,Valtteri Bottas,10.0,0.965034965034965,0.8778054862842892,1,1,1989-08-28 00:00:00,0
279,Albert Park Grand Prix Circuit,2,Mercedes,Valtteri Bottas,2.0,0.965034965034965,0.8778054862842892,1,1,1989-08-28 00:00:00,0
300,Albert Park Grand Prix Circuit,7,AlphaTauri,Carlos Sainz,8.0,0.9038461538461539,0.4553903345724907,1,1,1994-09-01 00:00:00,0
301,Albert Park Grand Prix Circuit,7,AlphaTauri,Carlos Sainz,7.0,0.9038461538461539,0.4553903345724907,1,1,1994-09-01 00:00:00,0
302,Albert Park Grand Prix Circuit,8,AlphaTauri,Carlos Sainz,8.0,0.9038461538461539,0.4553903345724907,1,1,1994-09-01 00:00:00,0
303,Albert Park Grand Prix Circuit,11,AlphaTauri,Max Verstappen,12.0,0.9142857142857143,0.4553903345724907,1,1,1997-09-30 00:00:00,0
304,Albert Park Grand Prix Circuit,5,AlphaTauri,Max Verstappen,5.0,0.9142857142857143,0.4553903345724907,1,1,1997-09-30 00:00:00,0
305,Albert Park Grand Prix Circuit,20,AlphaTauri,Pierre Gasly,20.0,0.9387755102040817,0.4553903345724907,1,1,1996-02-07 00:00:00,0
307,Albert Park Grand Prix Circuit,13,AlphaTauri,Alexander Albon,13.0,0.9565217391304348,0.4553903345724907,1,1,1996-03-23 00:00:00,0
354,Albert Park Grand Prix Circuit,13,Alfa Romeo,Sergio Pérez,13.0,0.9333333333333333,0.3952755905511811,1,1,1990-01-26 00:00:00,0
355,Albert Park Grand Prix Circuit,22,Alfa Romeo,Sergio Pérez,17.0,0.9333333333333333,0.3952755905511811,1,1,1990-01-26 00:00:00,0
365,Albert Park Grand Prix Circuit,18,Alfa Romeo,Charles Leclerc,18.0,0.8444444444444444,0.3952755905511811,1,1,1997-10-16 00:00:00,0
400,Albert Park Grand Prix Circuit,5,Red Bull,Max Verstappen,5.0,0.9142857142857143,0.7508650519031141,1,1,1997-09-30 00:00:00,0
401,Albert Park Grand Prix Circuit,4,Red Bull,Max Verstappen,4.0,0.9142857142857143,0.7508650519031141,1,1,1997-09-30 00:00:00,0
402,Albert Park Grand Prix Circuit,4,Red Bull,Max Verstappen,4.0,0.9142857142857143,0.7508650519031141,1,1,1997-09-30 00:00:00,0
403,Albert Park Grand Prix Circuit,17,Red Bull,Pierre Gasly,17.0,0.9387755102040817,0.7508650519031141,1,1,1996-02-07 00:00:00,0
431,Albert Park Grand Prix Circuit,17,Haas F1 Team,Kevin Magnussen,17.0,0.9523809523809523,0.34302325581395354,1,1,1992-10-05 00:00:00,0
432,Albert Park Grand Prix Circuit,5,Haas F1 Team,Kevin Magnussen,6.0,0.9523809523809523,0.34302325581395354,1,1,1992-10-05 00:00:00,0
433,Albert Park Grand Prix Circuit,7,Haas F1 Team,Kevin Magnussen,7.0,0.9523809523809523,0.34302325581395354,1,1,1992-10-05 00:00:00,0
537,Sepang International Circuit,18,Williams,Valtteri Bottas,18.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
538,Sepang International Circuit,18,Williams,Valtteri Bottas,15.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
539,Sepang International Circuit,8,Williams,Valtteri Bottas,9.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
540,Sepang International Circuit,11,Williams,Valtteri Bottas,11.0,0.965034965034965,0.5699614890885751,1,1,1989-08-28 00:00:00,0
541,Sepang International Circuit,13,Williams,Lance Stroll,13.0,0.9230769230769231,0.5699614890885751,1,1,1998-10-29 00:00:00,0
549,Sepang International Circuit,2,McLaren,Fernando Alonso,2.0,0.9326599326599326,0.6344916344916345,1,1,1981-07-29 00:00:00,0
