,GP_name,quali_pos,driver,age_at_gp_in_days,position,driver_confidence,active_driver
39,Albert Park Grand Prix Circuit,12,Daniel Ricciardo,10851,12,0.942196532,1
40,Albert Park Grand Prix Circuit,14,Kevin Magnussen,8567,15,0.952380952,1
41,Albert Park Grand Prix Circuit,9,Carlos Sainz,8606,9,0.903846154,1
90,Albert Park Grand Prix Circuit,16,Valtteri Bottas,8602,16,0.965034965,1
91,Albert Park Grand Prix Circuit,15,Valtteri Bottas,8966,10,0.965034965,1
92,Albert Park Grand Prix Circuit,0,Valtteri Bottas,9330,6,0.965034965,1
93,Albert Park Grand Prix Circuit,16,Valtteri Bottas,9701,11,0.965034965,1
94,Albert Park Grand Prix Circuit,20,Lance Stroll,6723,19,0.923076923,1
95,Albert Park Grand Prix Circuit,13,Lance Stroll,7087,14,0.923076923,1
97,Albert Park Grand Prix Circuit,19,George Russell,7700,19,0.958333333,1
118,Albert Park Grand Prix Circuit,11,Lewis Hamilton,9211,11,0.945273632,1
119,Albert Park Grand Prix Circuit,2,Lewis Hamilton,9575,2,0.945273632,1
120,Albert Park Grand Prix Circuit,1,Lewis Hamilton,9932,1,0.945273632,1
135,Albert Park Grand Prix Circuit,15,Sergio Pérez,8451,15,0.933333333,1
136,Albert Park Grand Prix Circuit,4,Kevin Magnussen,7832,4,0.952380952,1
137,Albert Park Grand Prix Circuit,17,Kevin Magnussen,8196,18,0.952380952,1
138,Albert Park Grand Prix Circuit,18,Carlos Sainz,8963,18,0.903846154,1
141,Albert Park Grand Prix Circuit,8,Lando Norris,7064,8,0.916666667,1
151,Albert Park Grand Prix Circuit,4,Sebastian Vettel,10117,4,0.955,1
152,Albert Park Grand Prix Circuit,3,Sebastian Vettel,10488,3,0.955,1
153,Albert Park Grand Prix Circuit,2,Sebastian Vettel,10859,2,0.955,1
154,Albert Park Grand Prix Circuit,3,Sebastian Vettel,11223,3,0.955,1
155,Albert Park Grand Prix Circuit,3,Sebastian Vettel,11580,3,0.955,1
159,Albert Park Grand Prix Circuit,11,Kimi Räikkönen,12569,12,0.944099379,1
160,Albert Park Grand Prix Circuit,5,Kimi Räikkönen,12933,5,0.944099379,1
161,Albert Park Grand Prix Circuit,4,Kimi Räikkönen,13304,4,0.944099379,1
162,Albert Park Grand Prix Circuit,4,Kimi Räikkönen,13675,4,0.944099379,1
163,Albert Park Grand Prix Circuit,2,Kimi Räikkönen,14039,2,0.944099379,1
185,Albert Park Grand Prix Circuit,5,Charles Leclerc,7822,5,0.844444444,1
267,Albert Park Grand Prix Circuit,3,Lewis Hamilton,10296,3,0.945273632,1
268,Albert Park Grand Prix Circuit,1,Lewis Hamilton,10660,1,0.945273632,1
269,Albert Park Grand Prix Circuit,1,Lewis Hamilton,11024,1,0.945273632,1
270,Albert Park Grand Prix Circuit,1,Lewis Hamilton,11395,1,0.945273632,1
271,Albert Park Grand Prix Circuit,1,Lewis Hamilton,11766,1,0.945273632,1
272,Albert Park Grand Prix Circuit,1,Lewis Hamilton,12130,1,0.945273632,1
273,Albert Park Grand Prix Circuit,1,Lewis Hamilton,12487,1,0.945273632,1
277,Albert Park Grand Prix Circuit,3,Valtteri Bottas,10072,3,0.965034965,1
278,Albert Park Grand Prix Circuit,15,Valtteri Bottas,10436,10,0.965034965,1
279,Albert Park Grand Prix Circuit,2,Valtteri Bottas,10793,2,0.965034965,1
292,Albert Park Grand Prix Circuit,10,Daniel Ricciardo,8296,10,0.942196532,1
293,Albert Park Grand Prix Circuit,14,Daniel Ricciardo,8660,14,0.942196532,1
297,Albert Park Grand Prix Circuit,8,Daniil Kvyat,7264,8,0.917525773,1
298,Albert Park Grand Prix Circuit,9,Daniil Kvyat,8370,9,0.917525773,1
299,Albert Park Grand Prix Circuit,15,Daniil Kvyat,9091,15,0.917525773,1
300,Albert Park Grand Prix Circuit,7,Carlos Sainz,7500,8,0.903846154,1
301,Albert Park Grand Prix Circuit,7,Carlos Sainz,7871,7,0.903846154,1
302,Albert Park Grand Prix Circuit,8,Carlos Sainz,8242,8,0.903846154,1
303,Albert Park Grand Prix Circuit,11,Max Verstappen,6375,12,0.914285714,1
304,Albert Park Grand Prix Circuit,5,Max Verstappen,6746,5,0.914285714,1
305,Albert Park Grand Prix Circuit,20,Pierre Gasly,8082,20,0.93877551,1
307,Albert Park Grand Prix Circuit,13,Alexander Albon,8394,13,0.956521739,1
323,Albert Park Grand Prix Circuit,16,Sergio Pérez,8815,16,0.933333333,1
324,Albert Park Grand Prix Circuit,14,Sergio Pérez,9179,15,0.933333333,1
325,Albert Park Grand Prix Circuit,9,Sergio Pérez,9550,9,0.933333333,1
326,Albert Park Grand Prix Circuit,10,Sergio Pérez,9921,11,0.933333333,1
327,Albert Park Grand Prix Circuit,12,Sergio Pérez,10285,13,0.933333333,1
328,Albert Park Grand Prix Circuit,13,Esteban Ocon,7495,14,0.923076923,1
